extraction_id,Y_next,Y_next_status,Y_final,Y_final_status
Y001,17700000,CLEAR,17550000,CLEAR
Y002,100000000,CLEAR,103000000,CLEAR
Y003,105000000,CLEAR,100000000,CLEAR
Y004,17000000,CLEAR,16800000,CLEAR
Y005,22000000,CLEAR,22500000,CLEAR
Y006,20240000,CLEAR,20241000,CLEAR
Y007,17500000,CLEAR,17500000,CLEAR
Y008,100000000,CLEAR,96000000,CLEAR
Y009,22000000,CLEAR,23000000,CLEAR
Y010,43000000,CLEAR,40500000,CLEAR
Y011,100000000,CLEAR,108000000,CLEAR
Y012,22000000,CLEAR,22000000,CLEAR
Y013,20150000,CLEAR,20250000,CLEAR
Y014,40000000,CLEAR,38000000,CLEAR
Y015,20250000,CLEAR,20300000,CLEAR
Y016,17500000,CLEAR,17550000,CLEAR
Y017,20180000,CLEAR,20240000,CLEAR
Y018,22000000,CLEAR,22000000,CLEAR
Y019,100000000,CLEAR,80000000,CLEAR
Y020,20000000,CLEAR,20000000,CLEAR
Y021,20150000,CLEAR,20180000,CLEAR
Y022,40000000,CLEAR,38000000,CLEAR
Y023,110000000,CLEAR,105000000,CLEAR
Y024,100000000,CLEAR,100000000,CLEAR
Y025,16000000,CLEAR,16500000,CLEAR
Y026,17500000,CLEAR,17550000,CLEAR
Y027,16500000,CLEAR,16500000,CLEAR
Y028,22000000,CLEAR,22000000,CLEAR
Y029,16700000,CLEAR,16700000,CLEAR
Y030,38000000,CLEAR,20000000,CLEAR
Y031,20475000,CLEAR,20475000,CLEAR
Y032,103000000,CLEAR,103000000,CLEAR
Y033,17500000,CLEAR,17550000,CLEAR
Y034,22000000,CLEAR,22000000,CLEAR
Y035,20000000,CLEAR,35000000,CLEAR
Y036,20150000,CLEAR,20475000,CLEAR
Y037,16500000,CLEAR,16800000,CLEAR
Y038,20240000,CLEAR,20240000,CLEAR
Y039,17500000,CLEAR,17550000,CLEAR
Y040,17550000,CLEAR,17550000,CLEAR
Y041,110000000,CLEAR,110000000,CLEAR
Y042,17500000,CLEAR,17550000,CLEAR
Y043,13500000,CLEAR,17500000,CLEAR
Y044,19800000,CLEAR,38000000,CLEAR
Y045,15000000,CLEAR,16000000,CLEAR
Y046,38000000,CLEAR,43000000,CLEAR
Y047,38000000,CLEAR,40000000,CLEAR
Y048,97000000,CLEAR,100000000,CLEAR
Y049,19800000,CLEAR,20475000,CLEAR
Y050,38000000,CLEAR,37000000,CLEAR
Y051,20350000,CLEAR,20120000,CLEAR
Y052,105000000,CLEAR,105000000,CLEAR
Y053,20000000,CLEAR,20000000,CLEAR
Y054,20150000,CLEAR,20240000,CLEAR
Y055,100000000,CLEAR,100000000,CLEAR
Y056,17550000,CLEAR,17700000,CLEAR
Y057,20150000,CLEAR,20350000,CLEAR
Y058,113000000,CLEAR,100000000,CLEAR
Y059,17500000,CLEAR,17550000,CLEAR
Y060,90000000,CLEAR,105000000,CLEAR
Y061,17500000,CLEAR,17700000,CLEAR
Y062,100000000,CLEAR,100000000,CLEAR
Y063,102000000,CLEAR,102000000,CLEAR
Y064,100000000,CLEAR,102000000,CLEAR
Y065,22000000,CLEAR,22000000,CLEAR
Y066,21000000,CLEAR,22000000,CLEAR
Y067,38000000,CLEAR,38000000,CLEAR
Y068,80000000,CLEAR,98000000,CLEAR
Y069,16500000,CLEAR,16675000,CLEAR
Y070,15000000,CLEAR,20125000,CLEAR
Y071,100000000,CLEAR,100000000,CLEAR
Y072,40000000,CLEAR,30000000,CLEAR
Y073,22000000,CLEAR,22000000,CLEAR
Y074,20100000,CLEAR,20475000,CLEAR
Y075,20400000,CLEAR,20240000,CLEAR
Y076,40000000,CLEAR,20000000,CLEAR
Y077,19800000,CLEAR,20124000,CLEAR
Y078,20150000,CLEAR,20475000,CLEAR
Y079,20160000,CLEAR,20475000,CLEAR
Y080,17600000,CLEAR,17550000,CLEAR
Y081,100000000,CLEAR,100000000,CLEAR
Y082,22000000,CLEAR,22000000,CLEAR
