placebo_blind_id,Y_final,status
P001,17550000,CLEAR
P002,20475000,CLEAR
P003,47000000,CLEAR
P004,100000000,CLEAR
P005,17700000,CLEAR
P006,16500000,CLEAR
P007,43400000,CLEAR
P008,105000000,CLEAR
P009,100000000,CLEAR
P010,20125000,CLEAR
P011,22500000,CLEAR
P012,17550000,CLEAR
P013,100000000,CLEAR
P014,100000000,CLEAR
P015,22000000,CLEAR
P016,100000000,CLEAR
P017,17550000,CLEAR
P018,17700000,CLEAR
P019,100000000,CLEAR
P020,16700000,CLEAR
P021,20250000,CLEAR
P022,100000000,CLEAR
P023,22000000,CLEAR
P024,15180000,CLEAR
P025,20245000,CLEAR
P026,16700000,CLEAR
P027,17100000,CLEAR
P028,40000000,CLEAR
P029,20300000,CLEAR
P030,20241000,CLEAR
P031,16100000,CLEAR
P032,22000000,CLEAR
P033,20400000,CLEAR
P034,17550000,CLEAR
P035,17550000,CLEAR
P036,40000000,CLEAR
P037,35000000,CLEAR
P038,42000000,CLEAR
P039,100000000,CLEAR
P040,45000000,CLEAR
P041,20475000,CLEAR
P042,110000000,CLEAR
P043,38000000,CLEAR
P044,90000000,CLEAR
P045,20250000,CLEAR
P046,22000000,CLEAR
P047,102000000,CLEAR
P048,21500000,CLEAR
P049,100000000,CLEAR
P050,38000000,CLEAR
P051,20475000,CLEAR
P052,20475000,CLEAR
P053,42350000,CLEAR
P054,100000000,CLEAR
P055,20475000,CLEAR
P056,100000000,CLEAR
P057,22500000,CLEAR
P058,17700000,CLEAR
P059,22500000,CLEAR
P060,20280000,CLEAR
P061,20250000,CLEAR
P062,18720000,CLEAR
P063,18000000,CLEAR
P064,38000000,CLEAR
P065,16500000,CLEAR
P066,45000000,CLEAR
P067,100000000,CLEAR
P068,17700000,CLEAR
P069,100000000,CLEAR
P070,110000000,CLEAR
P071,42000000,CLEAR
P072,20400000,CLEAR
P073,17550000,CLEAR
P074,22500000,CLEAR
P075,17000000,CLEAR
P076,22000000,CLEAR
P077,100000000,CLEAR
P078,20300000,CLEAR
P079,20475000,CLEAR
P080,97000000,CLEAR
P081,20000000,CLEAR
P082,20400000,CLEAR
