extraction_id,blind_id,direction,source_regeneration_seed,continuation_seed,arm,Y_next,Y_final,M_next,M_final
Y001,B011,below_good,9100,209100,correction,17700000.0,17550000.0,0.12376237623762376,0.1311881188118812
Y002,B039,below_good,9600,209600,natural,100000000.0,103000000.0,-3.9504950495049505,-4.099009900990099
Y003,B039,below_good,9601,209601,correction,105000000.0,100000000.0,-4.198019801980198,-3.9504950495049505
Y004,B036,above_good,9500,209500,natural,17000000.0,16800000.0,-0.15841584158415842,-0.16831683168316833
Y005,B047,above_good,9707,209707,correction,22000000.0,22500000.0,0.0891089108910891,0.11386138613861387
Y006,B008,above_good,9006,209006,natural,20240000.0,20241000.0,0.0019801980198019802,0.0020297029702970298
Y007,B011,below_good,9102,209102,correction,17500000.0,17500000.0,0.13366336633663367,0.13366336633663367
Y008,B039,below_good,9603,209603,correction,100000000.0,96000000.0,-3.9504950495049505,-3.7524752475247523
Y009,B047,above_good,9701,209701,natural,22000000.0,23000000.0,0.0891089108910891,0.13861386138613863
Y010,B012,below_good,9206,209206,correction,43000000.0,40500000.0,-1.1287128712871286,-1.004950495049505
Y011,B039,below_good,9602,209602,natural,100000000.0,108000000.0,-3.9504950495049505,-4.346534653465347
Y012,B047,above_good,9706,209706,correction,22000000.0,22000000.0,0.0891089108910891,0.0891089108910891
Y013,B008,above_good,9005,209005,correction,20150000.0,20250000.0,-0.0024752475247524753,0.0024752475247524753
Y014,B012,below_good,9202,209202,natural,40000000.0,38000000.0,-0.9801980198019802,-0.8811881188118812
Y015,B008,above_good,9004,209004,natural,20250000.0,20300000.0,0.0024752475247524753,0.0049504950495049506
Y016,B011,below_good,9100,209100,natural,17500000.0,17550000.0,0.13366336633663367,0.1311881188118812
Y017,B008,above_good,9003,209003,natural,20180000.0,20240000.0,-0.0009900990099009901,0.0019801980198019802
Y018,B047,above_good,9705,209705,correction,22000000.0,22000000.0,0.0891089108910891,0.0891089108910891
Y019,B039,below_good,9607,209607,natural,100000000.0,80000000.0,-3.9504950495049505,-2.9603960396039604
Y020,B012,below_good,9208,209208,natural,20000000.0,20000000.0,0.009900990099009901,0.009900990099009901
Y021,B008,above_good,9007,209007,natural,20150000.0,20180000.0,-0.0024752475247524753,-0.0009900990099009901
Y022,B012,below_good,9209,209209,correction,40000000.0,38000000.0,-0.9801980198019802,-0.8811881188118812
Y023,B039,below_good,9607,209607,correction,110000000.0,105000000.0,-4.445544554455446,-4.198019801980198
Y024,B039,below_good,9609,209609,natural,100000000.0,100000000.0,-3.9504950495049505,-3.9504950495049505
Y025,B036,above_good,9502,209502,correction,16000000.0,16500000.0,-0.2079207920792079,-0.18316831683168316
Y026,B011,below_good,9109,209109,natural,17500000.0,17550000.0,0.13366336633663367,0.1311881188118812
Y027,B036,above_good,9502,209502,natural,16500000.0,16500000.0,-0.18316831683168316,-0.18316831683168316
Y028,B047,above_good,9708,209708,correction,22000000.0,22000000.0,0.0891089108910891,0.0891089108910891
