target,direction,source_regeneration_seed,correction_Y_final,natural_Y_final,pair_B_final,correction_Y_next,natural_Y_next,pair_B_next
B008,above_good,9000,20475000,20350000,-0.006188118811881188,20150000,20150000,0.0
B008,above_good,9001,20240000,20475000,0.011633663366336634,20400000,20475000,0.0037128712871287127
B008,above_good,9002,20475000,20475000,0.0,20100000,20150000,0.0024752475247524753
B008,above_good,9003,20124000,20240000,0.0057425742574257425,19800000,20180000,0.01881188118811881
B008,above_good,9004,20475000,20300000,-0.008663366336633664,20160000,20250000,0.004455445544554456
B008,above_good,9005,20250000,20475000,0.011138613861386138,20150000,19800000,-0.017326732673267328
B008,above_good,9006,20240000,20241000,4.950495049504955e-05,20240000,20240000,0.0
B008,above_good,9007,20120000,20180000,0.0029702970297029703,20350000,20150000,-0.009900990099009901
B008,above_good,9009,20125000,20240000,0.005693069306930693,15000000,20150000,0.25495049504950495
B011,below_good,9100,17550000,17550000,0.0,17700000,17500000,0.00990099009900991
B011,below_good,9102,17500000,17550000,-0.0024752475247524774,17500000,17600000,-0.004950495049504955
B011,below_good,9105,17700000,17550000,0.007425742574257432,17500000,17500000,0.0
B011,below_good,9107,17550000,17550000,0.0,17500000,17500000,0.0
B011,below_good,9108,17700000,17550000,0.007425742574257432,17550000,17500000,0.0024752475247524774
B011,below_good,9109,17550000,17550000,0.0,17550000,17500000,0.0024752475247524774
B012,below_good,9202,20000000,38000000,-0.8910891089108911,40000000,40000000,0.0
B012,below_good,9203,38000000,30000000,0.39603960396039606,38000000,40000000,-0.09900990099009899
B012,below_good,9205,43000000,38000000,0.2475247524752474,38000000,19800000,0.900990099009901
B012,below_good,9206,40500000,20000000,1.0148514851485149,43000000,38000000,0.2475247524752474
B012,below_good,9207,35000000,37000000,-0.09900990099009899,20000000,38000000,-0.8910891089108911
B012,below_good,9208,40000000,20000000,0.9900990099009901,38000000,20000000,0.8910891089108911
B012,below_good,9209,38000000,20000000,0.8910891089108911,40000000,20000000,0.9900990099009901
B036,above_good,9500,16675000,16800000,0.006188118811881166,16500000,17000000,0.024752475247524747
B036,above_good,9502,16500000,16500000,0.0,16000000,16500000,0.024752475247524747
B036,above_good,9506,16700000,16800000,0.004950495049504927,16700000,16500000,-0.00990099009900991
B036,above_good,9508,16000000,17500000,0.07425742574257424,15000000,13500000,-0.07425742574257427
B039,below_good,9600,100000000,103000000,-0.14851485148514865,100000000,100000000,0.0
B039,below_good,9601,100000000,105000000,-0.24752475247524774,105000000,105000000,0.0
B039,below_good,9602,100000000,108000000,-0.3960396039603964,100000000,100000000,0.0
B039,below_good,9603,96000000,102000000,-0.2970297029702973,100000000,102000000,-0.0990099009900991
B039,below_good,9604,100000000,100000000,0.0,113000000,100000000,0.6435643564356432
B039,below_good,9605,100000000,100000000,0.0,100000000,97000000,0.14851485148514865
B039,below_good,9606,105000000,98000000,0.34653465346534684,90000000,80000000,0.49504950495049505
B039,below_good,9607,105000000,80000000,1.2376237623762378,110000000,100000000,0.4950495049504955
B039,below_good,9608,110000000,103000000,0.34653465346534684,110000000,103000000,0.34653465346534684
B039,below_good,9609,102000000,100000000,0.0990099009900991,100000000,100000000,0.0
B047,above_good,9701,22000000,23000000,0.04950495049504952,22000000,22000000,0.0
B047,above_good,9705,22000000,22000000,0.0,22000000,21000000,-0.0495049504950495
B047,above_good,9706,22000000,22000000,0.0,22000000,22000000,0.0
B047,above_good,9707,22500000,22000000,-0.02475247524752476,22000000,22000000,0.0
B047,above_good,9708,22000000,22000000,0.0,22000000,22000000,0.0
