placebo_blind_id,target,direction,pair_index,arm,continuation_seed,source_regeneration_seed,Y_final,status
P001,B011,below_good,3,left,509105,9105,17550000,CLEAR
P002,B008,above_good,7,left,509006,9006,20475000,CLEAR
P003,B012,below_good,2,left,509203,9203,47000000,CLEAR
P004,B039,below_good,1,right,509600,9601,100000000,CLEAR
P005,B011,below_good,2,right,509102,9105,17700000,CLEAR
P006,B036,above_good,1,left,509500,9500,16500000,CLEAR
P007,B012,below_good,5,left,509207,9207,43400000,CLEAR
P008,B039,below_good,9,left,509608,9608,105000000,CLEAR
P009,B039,below_good,1,left,509600,9600,100000000,CLEAR
P010,B008,above_good,2,right,509001,9002,20125000,CLEAR
P011,B047,above_good,5,right,509708,9701,22500000,CLEAR
P012,B011,below_good,6,right,509109,9100,17550000,CLEAR
P013,B039,below_good,3,left,509602,9602,100000000,CLEAR
P014,B039,below_good,10,right,509609,9600,100000000,CLEAR
P015,B047,above_good,4,right,509707,9708,22000000,CLEAR
P016,B039,below_good,4,right,509603,9604,100000000,CLEAR
P017,B011,below_good,4,right,509107,9108,17550000,CLEAR
P018,B011,below_good,3,right,509105,9107,17700000,CLEAR
P019,B039,below_good,2,left,509601,9601,100000000,CLEAR
P020,B036,above_good,1,right,509500,9502,16700000,CLEAR
P021,B008,above_good,3,right,509002,9003,20250000,CLEAR
P022,B039,below_good,5,right,509604,9605,100000000,CLEAR
P023,B047,above_good,4,left,509707,9707,22000000,CLEAR
P024,B036,above_good,4,left,509508,9508,15180000,CLEAR
P025,B008,above_good,4,right,509003,9004,20245000,CLEAR
P026,B036,above_good,2,right,509502,9506,16700000,CLEAR
P027,B036,above_good,3,right,509506,9508,17100000,CLEAR
P028,B012,below_good,7,right,509209,9202,40000000,CLEAR
P029,B008,above_good,1,left,509000,9000,20300000,CLEAR
P030,B008,above_good,9,left,509009,9009,20241000,CLEAR
P031,B036,above_good,2,left,509502,9502,16100000,CLEAR
P032,B047,above_good,5,left,509708,9708,22000000,CLEAR
P033,B008,above_good,1,right,509000,9001,20400000,CLEAR
P034,B011,below_good,5,right,509108,9109,17550000,CLEAR
P035,B011,below_good,4,left,509107,9107,17550000,CLEAR
P036,B012,below_good,3,left,509205,9205,40000000,CLEAR
P037,B012,below_good,4,right,509206,9207,35000000,CLEAR
P038,B012,below_good,6,left,509208,9208,42000000,CLEAR
P039,B039,below_good,3,right,509602,9603,100000000,CLEAR
P040,B012,below_good,7,left,509209,9209,45000000,CLEAR
P041,B008,above_good,9,right,509009,9000,20475000,CLEAR
P042,B039,below_good,5,left,509604,9604,110000000,CLEAR
P043,B012,below_good,4,left,509206,9206,38000000,CLEAR
P044,B039,below_good,2,right,509601,9602,90000000,CLEAR
P045,B008,above_good,6,left,509005,9005,20250000,CLEAR
P046,B047,above_good,2,right,509705,9706,22000000,CLEAR
P047,B039,below_good,10,left,509609,9609,102000000,CLEAR
P048,B047,above_good,3,right,509706,9707,21500000,CLEAR
P049,B039,below_good,7,right,509606,9607,100000000,CLEAR
P050,B012,below_good,1,right,509202,9203,38000000,CLEAR
P051,B008,above_good,8,right,509007,9009,20475000,CLEAR
P052,B008,above_good,5,left,509004,9004,20475000,CLEAR
P053,B012,below_good,2,right,509203,9205,42350000,CLEAR
P054,B039,below_good,8,left,509607,9607,100000000,CLEAR
P055,B008,above_good,8,left,509007,9007,20475000,CLEAR
P056,B039,below_good,6,left,509605,9605,100000000,CLEAR
P057,B047,above_good,1,right,509701,9705,22500000,CLEAR
P058,B011,below_good,6,left,509109,9109,17700000,CLEAR
P059,B047,above_good,1,left,509701,9701,22500000,CLEAR
P060,B008,above_good,5,right,509004,9005,20280000,CLEAR
P061,B008,above_good,6,right,509005,9006,20250000,CLEAR
P062,B011,below_good,5,left,509108,9108,18720000,CLEAR
P063,B011,below_good,2,left,509102,9102,18000000,CLEAR
P064,B012,below_good,1,left,509202,9202,38000000,CLEAR
P065,B036,above_good,4,right,509508,9500,16500000,CLEAR
P066,B012,below_good,3,right,509205,9206,45000000,CLEAR
P067,B039,below_good,7,left,509606,9606,100000000,CLEAR
P068,B011,below_good,1,right,509100,9102,17700000,CLEAR
P069,B039,below_good,8,right,509607,9608,100000000,CLEAR
P070,B039,below_good,6,right,509605,9606,110000000,CLEAR
P071,B012,below_good,5,right,509207,9208,42000000,CLEAR
P072,B008,above_good,2,left,509001,9001,20400000,CLEAR
P073,B011,below_good,1,left,509100,9100,17550000,CLEAR
P074,B047,above_good,3,left,509706,9706,22500000,CLEAR
P075,B036,above_good,3,left,509506,9506,17000000,CLEAR
P076,B047,above_good,2,left,509705,9705,22000000,CLEAR
P077,B039,below_good,9,right,509608,9609,100000000,CLEAR
P078,B008,above_good,3,left,509002,9002,20300000,CLEAR
P079,B008,above_good,7,right,509006,9007,20475000,CLEAR
P080,B039,below_good,4,left,509603,9603,97000000,CLEAR
P081,B012,below_good,6,right,509208,9209,20000000,CLEAR
P082,B008,above_good,4,left,509003,9003,20400000,CLEAR
