placebo_blind_id,Y_final,status,target,direction,pair_index,arm,continuation_seed,source_regeneration_seed,left_source_regeneration_seed,right_source_regeneration_seed
P029,20300000,CLEAR,B008,above_good,1,left,509000,9000,9000,9001
P033,20400000,CLEAR,B008,above_good,1,right,509000,9001,9000,9001
P072,20400000,CLEAR,B008,above_good,2,left,509001,9001,9001,9002
P010,20125000,CLEAR,B008,above_good,2,right,509001,9002,9001,9002
P078,20300000,CLEAR,B008,above_good,3,left,509002,9002,9002,9003
P021,20250000,CLEAR,B008,above_good,3,right,509002,9003,9002,9003
P082,20400000,CLEAR,B008,above_good,4,left,509003,9003,9003,9004
P025,20245000,CLEAR,B008,above_good,4,right,509003,9004,9003,9004
P052,20475000,CLEAR,B008,above_good,5,left,509004,9004,9004,9005
P060,20280000,CLEAR,B008,above_good,5,right,509004,9005,9004,9005
P045,20250000,CLEAR,B008,above_good,6,left,509005,9005,9005,9006
P061,20250000,CLEAR,B008,above_good,6,right,509005,9006,9005,9006
P002,20475000,CLEAR,B008,above_good,7,left,509006,9006,9006,9007
P079,20475000,CLEAR,B008,above_good,7,right,509006,9007,9006,9007
P055,20475000,CLEAR,B008,above_good,8,left,509007,9007,9007,9009
P051,20475000,CLEAR,B008,above_good,8,right,509007,9009,9007,9009
P030,20241000,CLEAR,B008,above_good,9,left,509009,9009,9009,9000
P041,20475000,CLEAR,B008,above_good,9,right,509009,9000,9009,9000
P073,17550000,CLEAR,B011,below_good,1,left,509100,9100,9100,9102
P068,17700000,CLEAR,B011,below_good,1,right,509100,9102,9100,9102
P063,18000000,CLEAR,B011,below_good,2,left,509102,9102,9102,9105
P005,17700000,CLEAR,B011,below_good,2,right,509102,9105,9102,9105
P001,17550000,CLEAR,B011,below_good,3,left,509105,9105,9105,9107
P018,17700000,CLEAR,B011,below_good,3,right,509105,9107,9105,9107
P035,17550000,CLEAR,B011,below_good,4,left,509107,9107,9107,9108
P017,17550000,CLEAR,B011,below_good,4,right,509107,9108,9107,9108
P062,18720000,CLEAR,B011,below_good,5,left,509108,9108,9108,9109
P034,17550000,CLEAR,B011,below_good,5,right,509108,9109,9108,9109
P058,17700000,CLEAR,B011,below_good,6,left,509109,9109,9109,9100
P012,17550000,CLEAR,B011,below_good,6,right,509109,9100,9109,9100
P064,38000000,CLEAR,B012,below_good,1,left,509202,9202,9202,9203
